framework,browser,action,board,min,max,mean,median,standardabweichung
Leptos,webkit,task-move-between-columns,Board 3 (100 Tasks),18.0,166.0,43.3,36.5,27.34
Leptos,webkit,task-move-between-columns,Board 4 (1000 Tasks),52.0,268.0,114.55,112.5,42.48
Leptos,webkit,board-switch,Board 1 (Leer),8.0,168.0,25.18,20.0,24.63
Leptos,webkit,board-switch,Board 2 (10 Tasks),29.0,114.0,66.7,62.5,23.72
Leptos,webkit,board-switch,Board 3 (100 Tasks),138.0,378.0,274.5,259.0,61.85
Leptos,webkit,board-switch,Board 4 (1000 Tasks),1968.0,5129.0,2780.78,2753.0,556.54
Leptos,webkit,initial-load-fcp,Initial Load,253.0,486.0,346.98,337.0,57.68
Leptos,webkit,initial-load-lcp,Initial Load,270.0,538.0,372.75,369.0,61.11
React,chromium,task-create,Board 1 (Leer),3.6,32.8,12.03,10.75,5.58
React,chromium,task-create,Board 2 (10 Tasks),6.3,34.9,13.26,10.65,6.61
React,chromium,task-create,Board 3 (100 Tasks),9.4,65.2,26.39,22.5,13.89
React,chromium,task-create,Board 4 (1000 Tasks),62.9,258.5,119.57,103.5,48.33
React,chromium,task-edit,Board 2 (10 Tasks),3.8,27.9,10.93,9.0,5.55
React,chromium,task-edit,Board 3 (100 Tasks),10.5,43.1,21.61,19.95,8.85
React,chromium,task-edit,Board 4 (1000 Tasks),58.6,384.3,111.69,98.05,55.13
React,chromium,task-delete,Board 2 (10 Tasks),5.5,23.1,13.49,13.4,4.36
React,chromium,task-delete,Board 3 (100 Tasks),12.6,72.1,27.21,25.2,12.5
React,chromium,task-delete,Board 4 (1000 Tasks),57.6,385.7,149.38,148.3,64.08
React,chromium,task-move-within-column,Board 2 (10 Tasks),5.2,34.3,18.67,17.3,6.83
React,chromium,task-move-within-column,Board 3 (100 Tasks),14.8,67.7,34.59,33.75,14.53
React,chromium,task-move-within-column,Board 4 (1000 Tasks),132.9,378.0,202.9,184.45,60.48
React,chromium,task-move-between-columns,Board 2 (10 Tasks),6.0,34.0,15.27,13.45,6.63
React,chromium,task-move-between-columns,Board 3 (100 Tasks),16.5,70.7,32.32,30.75,13.54
